run_id,producers,consumers,capacity,duration_seconds,effective_ops_per_sec,cycles,instructions,ipc,branches,branch_misses,branch_miss_rate,cache_references,cache_misses,cache_miss_rate,elapsed_seconds
20260412_123832,4,4,32768,3,7075278.65,35398813177,18622043016,0.5261,2805721085,21465956,0.007651,363978516,99009080,0.272019,3.008455
20260412_125456,1,1,32768,1,7738615.38,4729635731,5002818226,1.0578,750836592,34778,0.000046,48530425,7707003,0.158808,1.005668
20260412_125500,2,2,32768,1,8428104.39,13892720310,10978768209,0.7903,1653661536,6087987,0.003682,190936992,52433479,0.274611,1.005973
20260412_125504,3,3,32768,1,10638619.41,19856528647,8265757789,0.4163,1244782333,6873607,0.005522,168326918,36571494,0.217265,1.006355
20260412_125507,4,4,32768,1,11859664.56,20018524003,9021236428,0.4506,1363414022,8225522,0.006033,174717102,43496767,0.248955,1.022588
20260412_125511,5,5,32768,1,10132637.70,17109015899,8663789155,0.5064,1300931370,8838765,0.006794,169007853,41372453,0.244796,1.007518
20260412_125515,6,6,32768,1,8972609.42,17830580937,8568767335,0.4806,1298023215,8221533,0.006334,174096132,40136115,0.230540,1.007384
20260412_125518,7,7,32768,1,10257535.18,18951504495,9073167934,0.4788,1356594222,11116900,0.008195,186677375,46792666,0.250661,1.005762
20260412_125522,8,8,32768,1,9361355.26,19012405639,8343520716,0.4388,1270727541,9679663,0.007617,171630643,40459884,0.235738,1.005734
20260412_125526,9,9,32768,1,9892846.48,16637409155,7750654670,0.4659,1168236105,8386328,0.007179,157207217,36284107,0.230804,1.013420
20260412_125529,10,10,32768,1,9055221.39,18718590670,8525075783,0.4554,1278631256,8623755,0.006745,176580758,39388621,0.223063,1.026548
20260412_125533,11,11,32768,1,8760348.66,16595143563,7366188754,0.4439,1113569976,8269733,0.007426,155102297,35220190,0.227077,1.010504
20260412_125537,12,12,32768,1,8756550.99,19553645064,8028477481,0.4106,1219637107,9673053,0.007931,170028948,39797422,0.234063,1.013400
20260412_125906,1,1,32768,1,7602708.42,4715490674,5534157544,1.1736,823281463,36425,0.000044,51076604,7379969,0.144488,1.006066
20260412_125910,1,2,32768,1,8524766.66,6714261479,6179308744,0.9203,923131885,1032640,0.001119,80718811,14796082,0.183304,1.005861
20260412_125913,1,3,32768,1,9594954.42,14590565989,7577180234,0.5193,1138748005,5102197,0.004481,130150724,26794414,0.205872,1.004021
20260412_125917,1,4,32768,1,10739343.15,17881852822,8197096225,0.4584,1227993320,7149485,0.005822,155382121,34441262,0.221655,1.005494
20260412_125920,1,5,32768,1,10395665.87,19055847647,8039423122,0.4219,1215609113,10056706,0.008273,158786972,37252162,0.234605,1.004565
20260412_125924,1,6,32768,1,8231895.57,18462474414,8031883230,0.4350,1220274145,9612224,0.007877,154696597,35803232,0.231442,1.005357
20260412_125927,1,7,32768,1,9002742.08,18941828018,7962813017,0.4204,1206912531,10109687,0.008376,157208440,36655481,0.233165,1.006440
20260412_125931,1,8,32768,1,7798439.29,16884190279,7527875452,0.4459,1144437327,9127336,0.007975,143713239,32859516,0.228646,1.007792
20260412_125935,1,9,32768,1,8806581.40,17646636273,7952804978,0.4507,1189137784,7971008,0.006703,148164146,36262521,0.244746,1.007886
20260412_125938,1,10,32768,1,8593937.98,17736419749,7661731637,0.4320,1157027595,9217963,0.007967,149236558,35121341,0.235340,1.005404
20260412_125942,1,11,32768,1,8853159.61,18446651959,7659847002,0.4152,1162834343,9239459,0.007946,153020835,37991728,0.248278,1.007171
20260412_125945,1,12,32768,1,9112589.63,17548133014,7834096498,0.4464,1177547054,8669142,0.007362,148472432,34093392,0.229628,1.006480
20260412_125949,2,1,32768,1,10245168.41,11005526088,6705393013,0.6093,1007783539,2553334,0.002534,95492615,17966813,0.188149,1.005111
20260412_125952,2,2,32768,1,11054110.70,14942383529,7206090931,0.4823,1081250322,1529408,0.001414,121865103,26861684,0.220421,1.003955
20260412_125956,2,3,32768,1,10661693.78,17076050857,8336099863,0.4882,1258285449,8583613,0.006822,162594109,50667597,0.311620,1.005349
20260412_130000,2,4,32768,1,9547652.31,17683775360,8906463824,0.5037,1348549167,10436543,0.007739,180539073,54139136,0.299875,1.010917
20260412_130003,2,5,32768,1,9546912.78,17284361562,8361276666,0.4837,1252233231,7639308,0.006101,155663836,36577867,0.234980,1.006335
